# Data file for Exercise 6.3 "Brewtiful Brewing". All data from the text. 

# This table is transposed for better readability.
param: REST: demand :=  
        r1		5
        r2		1.5
        r3		10
        r4		0.5
        r5		2
        r6		6
        r7		1
        r8		2
        r9		3.5
        r10		3
        r11		20
        r12		9
        r13		11
        r14		1
        r15		2.5
        r16		4
        r17		6
        r18		7
        r19		1
        r20		2;

# The parameters open and cap are identical for all breweries.     
 param: BREW:   open	cap:=
 		b1		1000	40
 		b2		1000	40
 		b3		1000	40
 		b4		1000	40
 		b5		1000	40;
 
 # This table is not transposed.
 param deliverycost (tr):
 			b1		b2		b3		b4		b5:=
 	r1		2		9		5		1		3
 	r2		1		7		5		1		5
 	r3		2		7		5		1		3
 	r4		4		8		5		1		4
 	r5		1		1		5		1		6
 	r6		2		1		5		1		2
 	r7		3		2		5		1		1
 	r8		1		2		5		1		1
 	r9		9		2		5		1		7
 	r10		9		3		5		9		8
 	r11		8		4		5		9		3
 	r12		2		3		5		9		4
 	r13		3		6		5		9		5
 	r14		4		5		5		9		2
 	r15		1		7		5		9		6
 	r16		6		6		5		9		5
 	r17		2		2		5		9		1
 	r18		3		1		5		9		2
 	r19		1		3		5		9		2
 	r20		5		2		5		9		1;
