# Data for the knapsack problem:
param: ITEMS: weight :=  
        1     	55
        2    	50
        3     	40
        4     	35
        5    	30
        6    	30
        7    	15
        8		15
        9		10
        10		 5;
        
param value :=  
        1     	1000
        2    	 800
        3     	 750
        4     	 700
        5    	 600
        6    	 550
        7    	 250
        8		 200
        9		 200
        10		 150;

# part 1): just one knapsack of size 100
param: KNAPSACKS: limit :=
		K		100;
        
# part 2): two knapsacks of size 50 each
#param: KNAPSACKS: limit :=
#	K1		50
#	K2		50;




